Proyecto_ID,Tamano_Equipo,Metodologia,Presupuesto,Experiencia_Lider,Exito_Proyecto
69,Mediano,Cascada,Bajo,Media,No
70,Pequeño,Cascada,Medio,Alta,Si
71,Grande,Cascada,Bajo,Baja,No
72,Mediano,Agil,Bajo,Alta,Si
73,Mediano,Hibrida,Medio,Media,Si
74,Mediano,Agil,Medio,Baja,No
75,Mediano,Cascada,Bajo,Baja,No
76,Mediano,Hibrida,Alto,Media,No
77,Mediano,Hibrida,Medio,Media,No
78,Grande,Agil,Alto,Media,Si
79,Grande,Cascada,Bajo,Media,No
80,Mediano,Agil,Medio,Media,No
81,Grande,Hibrida,Alto,Baja,No
82,Pequeño,Agil,Medio,Media,No
83,Mediano,Agil,Bajo,Baja,No
84,Pequeño,Cascada,Alto,Baja,Si
85,Pequeño,Cascada,Bajo,Media,No
86,Mediano,Hibrida,Bajo,Media,Si
87,Grande,Agil,Medio,Baja,No
88,Pequeño,Agil,Alto,Media,Si
89,Mediano,Agil,Bajo,Media,Si
90,Pequeño,Hibrida,Bajo,Media,Si
91,Pequeño,Hibrida,Alto,Alta,Si
92,Pequeño,Cascada,Bajo,Baja,No
93,Pequeño,Cascada,Bajo,Alta,No
94,Grande,Cascada,Alto,Media,Si
95,Pequeño,Agil,Alto,Alta,Si
96,Pequeño,Agil,Alto,Media,Si
97,Pequeño,Cascada,Alto,Alta,Si
98,Grande,Agil,Medio,Media,Si
99,Pequeño,Cascada,Alto,Alta,Si
100,Pequeño,Hibrida,Medio,Alta,Si
101,Grande,Cascada,Medio,Alta,Si
102,Grande,Hibrida,Medio,Baja,No
103,Grande,Agil,Bajo,Alta,Si
104,Pequeño,Cascada,Medio,Baja,No
105,Grande,Agil,Medio,Media,Si
106,Grande,Hibrida,Bajo,Alta,Si
107,Pequeño,Hibrida,Bajo,Media,No
108,Grande,Hibrida,Bajo,Media,No
109,Pequeño,Agil,Alto,Alta,Si
110,Mediano,Agil,Bajo,Baja,No
111,Grande,Agil,Bajo,Alta,Si
112,Mediano,Agil,Medio,Media,No
113,Pequeño,Hibrida,Bajo,Media,No
114,Grande,Hibrida,Alto,Alta,No
115,Pequeño,Cascada,Bajo,Baja,No
116,Mediano,Cascada,Alto,Baja,Si
117,Pequeño,Agil,Bajo,Media,Si
118,Grande,Hibrida,Bajo,Media,Si
119,Grande,Hibrida,Bajo,Baja,No
120,Mediano,Hibrida,Bajo,Alta,Si
121,Pequeño,Cascada,Alto,Media,Si
122,Grande,Cascada,Alto,Baja,No
123,Mediano,Hibrida,Medio,Media,Si
124,Grande,Hibrida,Alto,Alta,No
125,Grande,Hibrida,Bajo,Baja,No
126,Pequeño,Cascada,Medio,Media,No
127,Grande,Hibrida,Medio,Alta,No
128,Pequeño,Hibrida,Medio,Media,Si
129,Grande,Agil,Bajo,Alta,Si
130,Mediano,Agil,Alto,Alta,Si
131,Grande,Cascada,Bajo,Baja,No
132,Pequeño,Hibrida,Medio,Alta,No
133,Pequeño,Hibrida,Bajo,Media,No
134,Mediano,Agil,Bajo,Alta,Si
135,Grande,Cascada,Alto,Alta,Si
136,Grande,Agil,Alto,Baja,No
137,Mediano,Agil,Medio,Alta,Si
138,Grande,Agil,Bajo,Alta,Si
139,Grande,Agil,Bajo,Media,No
140,Pequeño,Hibrida,Alto,Baja,Si
141,Grande,Hibrida,Bajo,Baja,No
142,Grande,Agil,Bajo,Baja,No
143,Mediano,Cascada,Bajo,Alta,No
144,Mediano,Cascada,Alto,Baja,Si
145,Pequeño,Cascada,Medio,Alta,Si
146,Grande,Cascada,Medio,Alta,No
147,Grande,Agil,Bajo,Media,Si
148,Grande,Hibrida,Medio,Media,Si
149,Pequeño,Cascada,Alto,Media,Si
150,Pequeño,Agil,Alto,Media,Si
151,Mediano,Cascada,Medio,Media,No
152,Pequeño,Cascada,Medio,Alta,No
153,Grande,Agil,Bajo,Alta,Si
154,Grande,Hibrida,Medio,Baja,No
155,Pequeño,Hibrida,Bajo,Alta,Si
156,Grande,Agil,Bajo,Alta,Si
157,Grande,Hibrida,Alto,Media,Si
158,Pequeño,Agil,Alto,Alta,Si
159,Pequeño,Agil,Alto,Media,Si
160,Grande,Agil,Alto,Baja,No
161,Grande,Hibrida,Medio,Baja,No
162,Grande,Agil,Alto,Alta,Si
163,Mediano,Cascada,Medio,Baja,Si
164,Mediano,Hibrida,Alto,Alta,No
165,Mediano,Hibrida,Medio,Baja,Si
166,Pequeño,Hibrida,Bajo,Media,Si
167,Mediano,Hibrida,Medio,Media,No
168,Pequeño,Cascada,Medio,Media,No
169,Pequeño,Hibrida,Alto,Media,Si
170,Mediano,Hibrida,Medio,Alta,Si
171,Mediano,Agil,Bajo,Baja,No
172,Mediano,Hibrida,Bajo,Alta,No
173,Grande,Cascada,Alto,Media,Si
174,Mediano,Cascada,Bajo,Alta,No
175,Grande,Cascada,Medio,Baja,No
176,Pequeño,Cascada,Bajo,Alta,No
177,Grande,Hibrida,Alto,Baja,No
178,Mediano,Hibrida,Medio,Alta,Si
179,Pequeño,Cascada,Alto,Baja,Si
180,Pequeño,Cascada,Medio,Baja,No
181,Pequeño,Hibrida,Bajo,Media,Si
182,Grande,Cascada,Alto,Baja,No
183,Mediano,Agil,Alto,Media,No
184,Pequeño,Cascada,Medio,Media,Si
185,Pequeño,Cascada,Alto,Media,Si
186,Pequeño,Agil,Medio,Alta,Si
187,Grande,Agil,Medio,Alta,Si
188,Grande,Hibrida,Medio,Alta,Si
189,Mediano,Hibrida,Medio,Alta,Si
190,Grande,Agil,Bajo,Baja,No
191,Pequeño,Agil,Medio,Baja,Si
192,Mediano,Hibrida,Alto,Alta,Si
193,Pequeño,Cascada,Bajo,Baja,No
194,Pequeño,Agil,Alto,Baja,Si
195,Grande,Hibrida,Bajo,Media,Si
196,Mediano,Cascada,Medio,Media,No
197,Grande,Agil,Bajo,Media,No
198,Grande,Cascada,Bajo,Media,No
199,Mediano,Hibrida,Alto,Baja,No
200,Pequeño,Agil,Alto,Alta,Si
201,Pequeño,Cascada,Medio,Baja,No
202,Mediano,Agil,Bajo,Baja,Si
203,Pequeño,Cascada,Bajo,Baja,No
204,Mediano,Hibrida,Bajo,Media,No
205,Mediano,Hibrida,Medio,Media,Si
206,Grande,Agil,Medio,Media,No
207,Mediano,Cascada,Medio,Alta,No
208,Grande,Agil,Medio,Baja,No
209,Pequeño,Agil,Medio,Alta,Si
210,Pequeño,Cascada,Alto,Media,Si
211,Pequeño,Cascada,Bajo,Alta,No
212,Pequeño,Cascada,Bajo,Baja,No
213,Grande,Hibrida,Bajo,Baja,No
214,Pequeño,Agil,Bajo,Media,No
215,Mediano,Agil,Bajo,Media,No
216,Mediano,Hibrida,Bajo,Alta,No
217,Mediano,Cascada,Bajo,Media,No
218,Grande,Hibrida,Bajo,Media,Si
219,Pequeño,Hibrida,Alto,Baja,Si
220,Pequeño,Hibrida,Bajo,Media,Si
221,Pequeño,Agil,Alto,Media,Si
222,Grande,Hibrida,Medio,Baja,No
223,Mediano,Agil,Bajo,Baja,No
224,Mediano,Agil,Medio,Alta,Si
225,Pequeño,Agil,Medio,Media,Si
226,Mediano,Cascada,Medio,Baja,No
227,Mediano,Agil,Alto,Alta,Si
228,Grande,Agil,Medio,Alta,Si
229,Grande,Cascada,Medio,Media,No
230,Grande,Agil,Medio,Media,Si
231,Grande,Hibrida,Bajo,Alta,No
232,Pequeño,Hibrida,Bajo,Baja,No
233,Grande,Agil,Alto,Alta,Si
234,Mediano,Cascada,Alto,Media,No
235,Pequeño,Hibrida,Bajo,Baja,No
236,Mediano,Cascada,Alto,Baja,No
237,Mediano,Cascada,Bajo,Alta,No
238,Mediano,Hibrida,Medio,Media,No
239,Grande,Cascada,Medio,Alta,No
240,Grande,Hibrida,Alto,Alta,Si
241,Pequeño,Cascada,Bajo,Alta,No
242,Pequeño,Hibrida,Bajo,Baja,Si
243,Grande,Agil,Alto,Baja,No
244,Mediano,Hibrida,Bajo,Media,No
245,Pequeño,Hibrida,Medio,Media,Si
246,Grande,Hibrida,Alto,Alta,No
247,Grande,Hibrida,Alto,Alta,No
248,Grande,Cascada,Bajo,Alta,No
249,Mediano,Agil,Alto,Media,Si
250,Grande,Hibrida,Bajo,Baja,No
251,Grande,Cascada,Bajo,Baja,No
252,Grande,Agil,Bajo,Alta,Si
253,Grande,Agil,Bajo,Alta,Si
254,Pequeño,Agil,Bajo,Alta,Si
255,Pequeño,Agil,Alto,Alta,Si
256,Grande,Hibrida,Medio,Media,No
257,Mediano,Hibrida,Medio,Baja,No
258,Pequeño,Cascada,Alto,Alta,Si
259,Grande,Cascada,Alto,Media,Si
260,Pequeño,Cascada,Medio,Alta,Si
261,Pequeño,Agil,Medio,Alta,Si
262,Mediano,Agil,Medio,Baja,Si
263,Grande,Hibrida,Medio,Alta,Si
264,Grande,Agil,Medio,Baja,No
265,Mediano,Agil,Bajo,Baja,No
266,Mediano,Agil,Alto,Baja,Si
267,Grande,Cascada,Bajo,Media,No
268,Grande,Cascada,Medio,Media,No
269,Mediano,Hibrida,Medio,Baja,Si
270,Pequeño,Agil,Medio,Alta,Si
271,Pequeño,Agil,Bajo,Baja,Si
272,Mediano,Hibrida,Bajo,Alta,No
273,Pequeño,Agil,Medio,Baja,No
274,Mediano,Agil,Bajo,Alta,Si
275,Pequeño,Cascada,Bajo,Media,No
276,Pequeño,Hibrida,Medio,Alta,Si
277,Grande,Hibrida,Bajo,Baja,No
278,Grande,Hibrida,Alto,Media,Si
279,Pequeño,Hibrida,Alto,Alta,Si
280,Pequeño,Cascada,Alto,Alta,Si
281,Grande,Cascada,Alto,Alta,Si
282,Grande,Agil,Medio,Alta,Si
283,Grande,Agil,Medio,Alta,Si
284,Mediano,Agil,Medio,Media,Si
285,Pequeño,Agil,Alto,Media,Si
286,Grande,Cascada,Alto,Media,No
287,Pequeño,Hibrida,Bajo,Media,Si
288,Mediano,Cascada,Bajo,Baja,No
289,Mediano,Agil,Alto,Media,Si
290,Grande,Cascada,Alto,Alta,Si
291,Mediano,Hibrida,Alto,Alta,No
292,Pequeño,Hibrida,Alto,Media,Si
293,Grande,Cascada,Bajo,Alta,No
294,Pequeño,Cascada,Alto,Media,Si
295,Pequeño,Cascada,Bajo,Alta,No
296,Mediano,Agil,Alto,Baja,No
297,Mediano,Cascada,Alto,Baja,Si
298,Mediano,Cascada,Alto,Media,No
299,Mediano,Cascada,Bajo,Media,No
300,Mediano,Hibrida,Bajo,Media,Si
301,Grande,Hibrida,Medio,Alta,Si
302,Pequeño,Agil,Alto,Media,Si
303,Pequeño,Agil,Medio,Baja,No
304,Pequeño,Hibrida,Medio,Alta,No
305,Pequeño,Hibrida,Bajo,Media,No
306,Mediano,Hibrida,Bajo,Alta,No
307,Pequeño,Cascada,Medio,Alta,Si
308,Grande,Cascada,Alto,Media,No
309,Grande,Hibrida,Bajo,Alta,Si
310,Pequeño,Cascada,Alto,Baja,Si
311,Pequeño,Cascada,Alto,Baja,Si
312,Grande,Agil,Medio,Alta,Si
313,Grande,Hibrida,Medio,Media,No
314,Mediano,Hibrida,Medio,Alta,Si
315,Grande,Cascada,Medio,Baja,No
316,Mediano,Hibrida,Bajo,Alta,No
317,Mediano,Agil,Bajo,Alta,Si
318,Mediano,Agil,Medio,Baja,Si
319,Mediano,Agil,Bajo,Alta,Si
320,Mediano,Hibrida,Medio,Alta,Si
321,Pequeño,Hibrida,Alto,Media,Si
322,Grande,Hibrida,Alto,Media,No
323,Mediano,Hibrida,Alto,Baja,Si
324,Grande,Hibrida,Medio,Baja,No
325,Grande,Agil,Alto,Baja,No
326,Mediano,Cascada,Bajo,Media,No
327,Pequeño,Agil,Alto,Baja,Si
328,Mediano,Hibrida,Alto,Baja,No
329,Pequeño,Agil,Alto,Baja,Si
330,Grande,Hibrida,Bajo,Media,Si
331,Pequeño,Hibrida,Medio,Alta,Si
332,Pequeño,Agil,Bajo,Baja,Si
333,Pequeño,Hibrida,Medio,Alta,Si
334,Grande,Cascada,Medio,Baja,No
335,Grande,Hibrida,Alto,Alta,No
336,Pequeño,Cascada,Medio,Media,Si
337,Pequeño,Cascada,Bajo,Media,No
338,Mediano,Hibrida,Bajo,Baja,No
339,Pequeño,Agil,Medio,Alta,Si
340,Mediano,Cascada,Alto,Media,No
341,Pequeño,Agil,Alto,Baja,Si
342,Mediano,Cascada,Bajo,Baja,No
343,Grande,Hibrida,Alto,Media,Si
344,Pequeño,Hibrida,Medio,Media,No
345,Pequeño,Cascada,Medio,Baja,No
346,Pequeño,Hibrida,Bajo,Alta,No
347,Pequeño,Cascada,Medio,Alta,Si
348,Mediano,Hibrida,Bajo,Alta,Si
349,Pequeño,Agil,Medio,Baja,No
350,Grande,Hibrida,Bajo,Media,No
351,Grande,Agil,Alto,Baja,No
352,Pequeño,Hibrida,Medio,Media,No
353,Grande,Agil,Medio,Alta,Si
354,Pequeño,Hibrida,Bajo,Alta,Si
355,Pequeño,Agil,Bajo,Media,No
356,Grande,Cascada,Medio,Media,Si
357,Pequeño,Cascada,Bajo,Baja,No
358,Grande,Agil,Medio,Alta,Si
359,Mediano,Hibrida,Alto,Baja,Si
360,Pequeño,Agil,Bajo,Baja,Si
361,Mediano,Hibrida,Medio,Baja,No
362,Grande,Cascada,Alto,Alta,Si
363,Mediano,Hibrida,Alto,Baja,Si
364,Mediano,Cascada,Medio,Baja,No
365,Grande,Hibrida,Bajo,Baja,No
366,Mediano,Hibrida,Medio,Baja,Si
367,Mediano,Hibrida,Alto,Baja,Si
368,Grande,Agil,Medio,Baja,No
369,Mediano,Agil,Bajo,Alta,Si
370,Grande,Cascada,Alto,Baja,No
371,Mediano,Cascada,Medio,Media,Si
372,Grande,Agil,Bajo,Baja,No
373,Grande,Cascada,Alto,Baja,No
374,Mediano,Agil,Bajo,Alta,Si
375,Mediano,Hibrida,Alto,Alta,No
376,Mediano,Cascada,Medio,Media,No
377,Pequeño,Cascada,Bajo,Media,No
378,Pequeño,Agil,Alto,Alta,Si
379,Pequeño,Cascada,Bajo,Alta,No
380,Grande,Cascada,Bajo,Baja,No
381,Mediano,Hibrida,Medio,Alta,Si
382,Grande,Cascada,Bajo,Media,No
383,Pequeño,Hibrida,Alto,Baja,Si
384,Mediano,Agil,Alto,Media,No
385,Grande,Cascada,Alto,Baja,No
386,Mediano,Hibrida,Alto,Alta,No
387,Grande,Agil,Medio,Media,Si
388,Mediano,Cascada,Bajo,Baja,No
389,Pequeño,Agil,Medio,Baja,No
390,Pequeño,Cascada,Bajo,Alta,No
391,Mediano,Agil,Bajo,Alta,Si
392,Grande,Agil,Bajo,Alta,Si
393,Pequeño,Hibrida,Medio,Media,No
394,Pequeño,Agil,Bajo,Baja,No
395,Pequeño,Cascada,Medio,Alta,Si
396,Mediano,Cascada,Alto,Media,No
397,Mediano,Hibrida,Alto,Media,No
398,Grande,Cascada,Bajo,Media,No
399,Grande,Cascada,Medio,Alta,Si
400,Grande,Cascada,Alto,Alta,Si
401,Mediano,Agil,Medio,Baja,Si
402,Mediano,Agil,Medio,Baja,Si
403,Grande,Cascada,Bajo,Alta,No
404,Grande,Hibrida,Alto,Media,No
405,Mediano,Agil,Bajo,Media,Si
406,Grande,Hibrida,Bajo,Media,Si
407,Pequeño,Cascada,Alto,Baja,Si
408,Mediano,Cascada,Alto,Media,No
409,Grande,Agil,Medio,Baja,No
410,Mediano,Cascada,Alto,Baja,Si
411,Pequeño,Agil,Medio,Media,No
412,Mediano,Cascada,Medio,Media,Si
413,Mediano,Cascada,Medio,Alta,Si
414,Mediano,Agil,Alto,Alta,Si
415,Mediano,Agil,Bajo,Media,Si
416,Pequeño,Agil,Medio,Baja,Si
417,Mediano,Cascada,Bajo,Baja,No
418,Mediano,Cascada,Bajo,Baja,No
419,Grande,Hibrida,Alto,Baja,No
420,Mediano,Agil,Bajo,Baja,Si
421,Grande,Cascada,Bajo,Alta,No
422,Pequeño,Cascada,Alto,Media,Si
423,Pequeño,Agil,Medio,Alta,Si
424,Pequeño,Hibrida,Bajo,Baja,No
425,Pequeño,Agil,Alto,Baja,Si
426,Grande,Hibrida,Bajo,Baja,No
427,Mediano,Cascada,Bajo,Baja,No
428,Pequeño,Hibrida,Medio,Media,No
429,Mediano,Cascada,Bajo,Baja,No
430,Grande,Agil,Alto,Media,Si
431,Grande,Agil,Bajo,Baja,No
432,Grande,Agil,Medio,Media,No
433,Pequeño,Hibrida,Medio,Alta,No
434,Mediano,Cascada,Alto,Baja,No
435,Mediano,Agil,Medio,Media,Si
436,Mediano,Agil,Bajo,Alta,Si
437,Grande,Cascada,Medio,Baja,No
438,Pequeño,Agil,Alto,Baja,Si
439,Grande,Cascada,Medio,Baja,No
440,Grande,Cascada,Medio,Media,Si
441,Mediano,Cascada,Medio,Media,Si
442,Grande,Cascada,Alto,Alta,No
443,Mediano,Cascada,Medio,Media,No
444,Pequeño,Hibrida,Medio,Media,Si
445,Mediano,Agil,Bajo,Baja,Si
446,Pequeño,Hibrida,Alto,Baja,Si
447,Mediano,Agil,Medio,Baja,No
448,Grande,Hibrida,Alto,Baja,No
449,Grande,Cascada,Medio,Baja,No
450,Pequeño,Agil,Medio,Baja,No
451,Pequeño,Agil,Medio,Baja,No
452,Pequeño,Hibrida,Bajo,Alta,No
453,Mediano,Hibrida,Bajo,Alta,Si
454,Mediano,Agil,Bajo,Alta,Si
455,Pequeño,Hibrida,Alto,Alta,Si
456,Grande,Hibrida,Alto,Baja,No
457,Mediano,Hibrida,Bajo,Alta,No
458,Mediano,Cascada,Alto,Baja,No
459,Mediano,Cascada,Medio,Alta,Si
460,Pequeño,Hibrida,Medio,Media,No
461,Pequeño,Hibrida,Medio,Alta,No
462,Pequeño,Cascada,Bajo,Alta,No
463,Pequeño,Cascada,Alto,Baja,Si
464,Pequeño,Agil,Bajo,Alta,Si
465,Grande,Agil,Alto,Media,Si
466,Grande,Cascada,Medio,Baja,No
467,Pequeño,Hibrida,Bajo,Baja,No
468,Mediano,Hibrida,Alto,Alta,No
469,Pequeño,Hibrida,Alto,Baja,Si
470,Grande,Hibrida,Medio,Baja,No
471,Grande,Agil,Bajo,Baja,No
472,Mediano,Cascada,Bajo,Baja,No
473,Grande,Hibrida,Bajo,Baja,No
474,Pequeño,Agil,Medio,Baja,No
475,Mediano,Hibrida,Bajo,Media,Si
476,Pequeño,Cascada,Medio,Alta,Si
477,Pequeño,Agil,Medio,Media,No
478,Mediano,Cascada,Medio,Baja,Si
479,Pequeño,Cascada,Alto,Baja,Si
480,Grande,Agil,Bajo,Alta,Si
481,Pequeño,Agil,Bajo,Media,No
482,Mediano,Agil,Medio,Alta,Si
483,Mediano,Agil,Medio,Media,No
484,Mediano,Agil,Bajo,Baja,Si
485,Pequeño,Agil,Medio,Alta,Si
486,Mediano,Agil,Bajo,Alta,Si
487,Mediano,Hibrida,Alto,Baja,No
488,Pequeño,Cascada,Medio,Alta,No
489,Grande,Agil,Bajo,Media,Si
490,Pequeño,Hibrida,Medio,Media,No
491,Mediano,Hibrida,Bajo,Media,No
492,Mediano,Hibrida,Bajo,Media,No
493,Pequeño,Cascada,Medio,Baja,No
494,Grande,Agil,Alto,Alta,Si
495,Mediano,Hibrida,Bajo,Media,Si
496,Mediano,Cascada,Bajo,Baja,No
497,Mediano,Cascada,Bajo,Alta,No
498,Pequeño,Cascada,Alto,Alta,Si
499,Mediano,Hibrida,Alto,Baja,No
500,Grande,Agil,Medio,Baja,No
501,Mediano,Hibrida,Alto,Media,No
502,Mediano,Hibrida,Medio,Alta,No
503,Grande,Agil,Medio,Alta,Si
504,Mediano,Agil,Alto,Baja,No
505,Pequeño,Agil,Medio,Alta,Si
506,Pequeño,Cascada,Alto,Media,Si
507,Pequeño,Agil,Medio,Alta,Si
508,Grande,Hibrida,Alto,Baja,No
509,Mediano,Agil,Alto,Baja,Si
510,Pequeño,Hibrida,Medio,Media,No
511,Grande,Cascada,Bajo,Media,No
512,Mediano,Hibrida,Medio,Alta,Si
513,Grande,Hibrida,Alto,Alta,Si
514,Pequeño,Agil,Bajo,Baja,Si
515,Pequeño,Agil,Medio,Media,No
516,Pequeño,Hibrida,Medio,Media,No
517,Grande,Agil,Medio,Media,No
518,Grande,Cascada,Bajo,Alta,No
519,Pequeño,Cascada,Alto,Media,Si
520,Grande,Agil,Medio,Baja,No
521,Pequeño,Cascada,Medio,Baja,No
522,Pequeño,Agil,Medio,Alta,Si
523,Mediano,Hibrida,Medio,Alta,No
524,Grande,Hibrida,Medio,Media,No
525,Pequeño,Cascada,Alto,Alta,Si
526,Pequeño,Agil,Alto,Baja,Si
527,Grande,Agil,Medio,Media,Si
528,Mediano,Cascada,Bajo,Baja,No
529,Mediano,Hibrida,Alto,Media,Si
530,Pequeño,Cascada,Bajo,Alta,No
531,Grande,Hibrida,Alto,Media,Si
532,Mediano,Agil,Medio,Media,No
533,Grande,Hibrida,Alto,Baja,No
534,Grande,Cascada,Medio,Baja,No
535,Pequeño,Agil,Alto,Media,Si
536,Mediano,Cascada,Medio,Alta,No
537,Pequeño,Cascada,Medio,Alta,Si
538,Mediano,Hibrida,Medio,Baja,Si
539,Mediano,Cascada,Medio,Alta,No
540,Mediano,Hibrida,Bajo,Baja,Si
541,Mediano,Agil,Medio,Alta,Si
542,Mediano,Hibrida,Bajo,Media,No
543,Grande,Agil,Bajo,Baja,No
544,Pequeño,Hibrida,Medio,Baja,No
545,Grande,Cascada,Bajo,Media,No
546,Mediano,Hibrida,Alto,Baja,Si
547,Pequeño,Hibrida,Medio,Alta,Si
548,Mediano,Agil,Bajo,Alta,Si
549,Pequeño,Cascada,Medio,Baja,No
550,Grande,Hibrida,Medio,Alta,No
551,Pequeño,Cascada,Medio,Baja,No
552,Pequeño,Hibrida,Bajo,Media,No
553,Pequeño,Hibrida,Alto,Baja,Si
554,Pequeño,Cascada,Alto,Media,Si
555,Pequeño,Hibrida,Bajo,Alta,Si
556,Mediano,Cascada,Medio,Media,No
557,Pequeño,Hibrida,Bajo,Alta,No
558,Pequeño,Agil,Bajo,Baja,No
559,Grande,Cascada,Bajo,Alta,No
560,Pequeño,Hibrida,Medio,Baja,Si
561,Grande,Hibrida,Bajo,Baja,No
562,Mediano,Agil,Medio,Media,No
563,Pequeño,Cascada,Bajo,Media,No
564,Grande,Hibrida,Alto,Media,No
565,Grande,Agil,Bajo,Media,Si
566,Mediano,Hibrida,Bajo,Alta,Si
567,Pequeño,Cascada,Alto,Alta,Si
568,Pequeño,Hibrida,Medio,Alta,No
569,Grande,Hibrida,Medio,Baja,No
570,Pequeño,Hibrida,Bajo,Alta,Si
571,Grande,Hibrida,Alto,Alta,Si
572,Pequeño,Agil,Medio,Alta,Si
573,Grande,Agil,Bajo,Media,Si
574,Pequeño,Cascada,Alto,Alta,Si
575,Mediano,Agil,Medio,Baja,No
576,Pequeño,Agil,Medio,Media,No
577,Pequeño,Cascada,Alto,Baja,Si
578,Mediano,Agil,Alto,Alta,Si
579,Pequeño,Agil,Alto,Media,Si
580,Mediano,Cascada,Alto,Baja,No
581,Pequeño,Cascada,Bajo,Alta,No
582,Grande,Cascada,Alto,Baja,No
583,Grande,Hibrida,Medio,Baja,No
584,Pequeño,Hibrida,Medio,Baja,Si
585,Pequeño,Cascada,Bajo,Alta,No
586,Pequeño,Cascada,Medio,Alta,No
587,Grande,Cascada,Medio,Baja,No
588,Pequeño,Hibrida,Alto,Media,Si
589,Grande,Hibrida,Medio,Media,No
590,Mediano,Agil,Bajo,Alta,Si
591,Grande,Agil,Alto,Alta,Si
592,Grande,Cascada,Alto,Alta,No
593,Mediano,Hibrida,Bajo,Alta,No
594,Grande,Hibrida,Alto,Alta,Si
595,Pequeño,Hibrida,Alto,Media,Si
596,Pequeño,Cascada,Bajo,Alta,No
597,Grande,Agil,Alto,Baja,No
598,Pequeño,Cascada,Bajo,Baja,No
599,Grande,Agil,Bajo,Media,No
600,Pequeño,Agil,Medio,Baja,Si
601,Pequeño,Cascada,Medio,Media,No
602,Grande,Agil,Alto,Media,Si
603,Pequeño,Agil,Alto,Baja,Si
604,Grande,Hibrida,Bajo,Alta,Si
605,Pequeño,Agil,Alto,Baja,Si
606,Pequeño,Cascada,Bajo,Baja,No
607,Mediano,Cascada,Bajo,Media,No
608,Mediano,Agil,Alto,Baja,Si
609,Grande,Hibrida,Bajo,Media,No
610,Mediano,Hibrida,Medio,Alta,Si
611,Grande,Agil,Alto,Alta,Si
612,Mediano,Agil,Medio,Alta,Si
613,Pequeño,Cascada,Alto,Baja,Si
614,Grande,Agil,Bajo,Media,No
615,Grande,Hibrida,Alto,Alta,Si
616,Pequeño,Agil,Medio,Media,Si
